Instruction Name,Opcode,Instruction,64-bit validity,32-bit validity,CpuId Flags
VMAXPS,VEX.256.0F.WIG 5F /r,"VMAXPS ymm1, ymm2, ymm3/m256",V,V,AVX
VMAXPS,EVEX.128.0F.W0 5F /r,"VMAXPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VMAXPS,EVEX.256.0F.W0 5F /r,"VMAXPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VMAXPS,EVEX.512.0F.W0 5F /r,"VMAXPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst{sae}",V,V,AVX512F
MAXSD,F2 0F 5F /r,"MAXSD xmm1, xmm2/m64",V,V,SSE2
VMAXSD,VEX.LIG.F2.0F.WIG 5F /r,"VMAXSD xmm1, xmm2, xmm3/m64",V,V,AVX
VMAXSD,EVEX.LIG.F2.0F.W1 5F /r,"VMAXSD xmm1 {k1}{z}, xmm2, xmm3/m64{sae}",V,V,AVX512F
MAXSS,F3 0F 5F /r,"MAXSS xmm1, xmm2/m32",V,V,SSE
VMAXSS,VEX.LIG.F3.0F.WIG 5F /r,"VMAXSS xmm1, xmm2, xmm3/m32",V,V,AVX
VMAXSS,EVEX.LIG.F3.0F.W0 5F /r,"VMAXSS xmm1 {k1}{z}, xmm2, xmm3/m32{sae}",V,V,AVX512F
MINPD,66 0F 5D /r,"MINPD xmm1, xmm2/m128",V,V,SSE2
VMINPD,VEX.128.66.0F.WIG 5D /r,"VMINPD xmm1, xmm2, xmm3/m128",V,V,AVX
VMINPD,VEX.256.66.0F.WIG 5D /r,"VMINPD ymm1, ymm2, ymm3/m256",V,V,AVX
VMINPD,EVEX.128.66.0F.W1 5D /r,"VMINPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VMINPD,EVEX.256.66.0F.W1 5D /r,"VMINPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VMINPD,EVEX.512.66.0F.W1 5D /r,"VMINPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst{sae}",V,V,AVX512F
MINPS,NP 0F 5D /r,"MINPS xmm1, xmm2/m128",V,V,SSE
VMINPS,VEX.128.0F.WIG 5D /r,"VMINPS xmm1, xmm2, xmm3/m128",V,V,AVX
VMINPS,VEX.256.0F.WIG 5D /r,"VMINPS ymm1, ymm2, ymm3/m256",V,V,AVX
VMINPS,EVEX.128.0F.W0 5D /r,"VMINPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VMINPS,EVEX.256.0F.W0 5D /r,"VMINPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VMINPS,EVEX.512.0F.W0 5D /r,"VMINPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst{sae}",V,V,AVX512F
MINSD,F2 0F 5D /r,"MINSD xmm1, xmm2/m64",V,V,SSE2
VMINSD,VEX.LIG.F2.0F.WIG 5D /r,"VMINSD xmm1, xmm2, xmm3/m64",V,V,AVX
VMINSD,EVEX.LIG.F2.0F.W1 5D /r,"VMINSD xmm1 {k1}{z}, xmm2, xmm3/m64{sae}",V,V,AVX512F
MINSS,F3 0F 5D /r,"MINSS xmm1,xmm2/m32",V,V,SSE
VMINSS,VEX.LIG.F3.0F.WIG 5D /r,"VMINSS xmm1,xmm2, xmm3/m32",V,V,AVX
VMINSS,EVEX.LIG.F3.0F.W0 5D /r,"VMINSS xmm1 {k1}{z}, xmm2, xmm3/m32{sae}",V,V,AVX512F
MOV,88 /r,"MOV r/m8,r8",V,V,
MOV,REX 88 /r,MOV r/m8 r8,V,N.E.,
MOV,89 /r,"MOV r/m16,r16",V,V,
MOV,89 /r,"MOV r/m32,r32",V,V,
MOV,REX.W 89 /r,"MOV r/m64,r64",V,N.E.,
MOV,8A /r,"MOV r8,r/m8",V,V,
MOV,REX 8A /r,"MOV r8***,r/m8***",V,N.E.,
MOV,8B /r,"MOV r16,r/m16",V,V,
MOV,8B /r,"MOV r32,r/m32",V,V,
MOV,REX.W 8B /r,"MOV r64,r/m64",V,N.E.,
MOV,8C /r,"MOV r/m16,Sreg **",V,V,
MOV,REX.W 8C /r,"MOV r16/r32/m16, Sreg **",V,V,
MOV,REX.W 8C /r,"MOV r64/m16, Sreg **",V,V,
MOV,8E /r,"MOV Sreg,r/m16 **",V,V,
MOV,REX.W 8E /r,"MOV Sreg,r/m64 **",V,V,
MOV,A0,"MOV AL, moffs8 *",V,V,
MOV,REX.W A0,"MOV AL, moffs8 *",V,N.E.,
MOV,A1,"MOV AX, moffs16 *",V,V,
MOV,A1,"MOV EAX, moffs32 *",V,V,
MOV,REX.W A1,"MOV RAX, moffs64 *",V,N.E.,
MOV,A2,"MOV moffs8 ,AL",V,V,
MOV,REX.W A2,"MOV moffs8 ,AL",V,N.E.,
MOV,A3,"MOV moffs16 *,AX",V,V,
MOV,A3,"MOV moffs32 *,EAX",V,V,
MOV,REX.W A3,"MOV moffs64 *,RAX",V,N.E.,
MOV,B0 +rb /ib,"MOV r8, imm8",V,V,
MOV,REX B0 +rb /ib,"MOV r8 , imm8",V,N.E.,
MOV,B8 +rw iw,"MOV r16, imm16",V,V,
MOV,B8 +rd id,"MOV r32, imm32",V,V,
MOV,REX.W B8 +rd io,"MOV r64, imm64",V,N.E.,
MOV,C6 /0 /ib,"MOV r/m8, imm8",V,V,
MOV,REX C6 /0 /ib,"MOV r/m8***, imm8",V,N.E.,
MOV,C7 /0 iw,"MOV r/m16, imm16",V,V,
MOV,C7 /0 id,"MOV r/m32, imm32",V,V,
MOV,REX.W C7 /0 id,"MOV r/m64, imm32",V,N.E.,
MOV,0F 20 /r,"MOV r32, CR0–CR7",N.E.,V,
MOV,0F 20 /r,"MOV r64, CR0–CR7",V,N.E.,
MOV,REX.R 0F 20 /0,"MOV r64, CR8",V,N.E.,
MOV,0F 22 /r,"MOV CR0–CR7, r32",N.E.,V,
MOV,0F 22 /r,"MOV CR0–CR7, r64",V,N.E.,
MOV,REX.R 0F 22 /0,"MOV CR8, r64",V,N.E.,
MOV,0F 21 /r,"MOV r32, DR0–DR7",N.E.,V,
MOV,0F 21 /r,"MOV r64, DR0–DR7",V,N.E.,
MOV,0F 23 /r,"MOV DR0–DR7, r32",N.E.,V,
MOV,0F 23 /r,"MOV DR0–DR7, r64",V,N.E.,
MOVAPD,66 0F 28 /r,"MOVAPD xmm1, xmm2/m128",V,V,SSE2
MOVAPD,66 0F 29 /r,"MOVAPD xmm2/m128, xmm1",V,V,SSE2
VMOVAPD,VEX.128.66.0F.WIG 28 /r,"VMOVAPD xmm1, xmm2/m128",V,V,AVX
VMOVAPD,VEX.128.66.0F.WIG 29 /r,"VMOVAPD xmm2/m128, xmm1",V,V,AVX
VMOVAPD,VEX.256.66.0F.WIG 28 /r,"VMOVAPD ymm1, ymm2/m256",V,V,AVX
VMOVAPD,VEX.256.66.0F.WIG 29 /r,"VMOVAPD ymm2/m256, ymm1",V,V,AVX
VMOVAPD,EVEX.128.66.0F.W1 28 /r,"VMOVAPD xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512F
VMOVAPD,EVEX.256.66.0F.W1 28 /r,"VMOVAPD ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVAPD,EVEX.512.66.0F.W1 28 /r,"VMOVAPD zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVAPD,EVEX.128.66.0F.W1 29 /r,"VMOVAPD xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVAPD,EVEX.256.66.0F.W1 29 /r,"VMOVAPD ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVAPD,EVEX.512.66.0F.W1 29 /r,"VMOVAPD zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
MOVAPS,NP 0F 28 /r,"MOVAPS xmm1, xmm2/m128",V,V,SSE
MOVAPS,NP 0F 29 /r,"MOVAPS xmm2/m128, xmm1",V,V,SSE
VMOVAPS,VEX.128.0F.WIG 28 /r,"VMOVAPS xmm1, xmm2/m128",V,V,AVX
VMOVAPS,VEX.128.0F.WIG 29 /r,"VMOVAPS xmm2/m128, xmm1",V,V,AVX
VMOVAPS,VEX.256.0F.WIG 28 /r,"VMOVAPS ymm1, ymm2/m256",V,V,AVX
VMOVAPS,VEX.256.0F.WIG 29 /r,"VMOVAPS ymm2/m256, ymm1",V,V,AVX
VMOVAPS,EVEX.128.0F.W0 28 /r,"VMOVAPS xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512F
VMOVAPS,EVEX.256.0F.W0 28 /r,"VMOVAPS ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVAPS,EVEX.512.0F.W0 28 /r,"VMOVAPS zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVAPS,EVEX.128.0F.W0 29 /r,"VMOVAPS xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVAPS,EVEX.256.0F.W0 29 /r,"VMOVAPS ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVAPS,EVEX.512.0F.W0 29 /r,"VMOVAPS zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
MOVD,NP 0F 6E /r,"MOVD mm, r/m32",V,V,MMX
MOVQ,NP REX.W 0F 6E /r,"MOVQ mm, r/m64",V,N.E.,MMX
MOVD,NP 0F 7E /r,"MOVD r/m32, mm",V,V,MMX
MOVQ,NP REX.W 0F 7E /r,"MOVQ r/m64, mm",V,N.E.,MMX
MOVD,66 0F 6E /r,"MOVD xmm , r/m32",V,V,SSE2
MOVQ,66 REX.W 0F 6E /r,"MOVQ xmm , r/m64",V,N.E.,SSE2
MOVD,66 0F 7E /r,"MOVD r/m32 , xmm",V,V,SSE2
MOVQ,66 REX.W 0F 7E /r,"MOVQ r/m64 , xmm",V,N.E.,SSE2
VMOVD,VEX.128.66.0F.W0 6E /r,"VMOVD xmm1, r32/m32",V,V,AVX
VMOVQ,VEX.128.66.0F.W1 6E /r,"VMOVQ xmm1, r64/m64",V,N.E.,AVX
VMOVD,VEX.128.66.0F.W0 7E /r,"VMOVD r32/m32, xmm1",V,V,AVX
VMOVQ,VEX.128.66.0F.W1 7E /r,"VMOVQ r64/m64, xmm1",V,N.E.,AVX
VMOVD,EVEX.128.66.0F.W0 6E /r,"VMOVD xmm1, r32/m32",V,V,AVX512F
VMOVQ,EVEX.128.66.0F.W1 6E /r,"VMOVQ xmm1, r64/m64",V,N.E.,AVX512F
VMOVD,EVEX.128.66.0F.W0 7E /r,"VMOVD r32/m32, xmm1",V,V,AVX512F
VMOVQ,EVEX.128.66.0F.W1 7E /r,"VMOVQ r64/m64, xmm1",V,N.E.,AVX512F
MOVDDUP,F2 0F 12 /r,"MOVDDUP xmm1, xmm2/m64",V,V,SSE3
VMOVDDUP,VEX.128.F2.0F.WIG 12 /r,"VMOVDDUP xmm1, xmm2/m64",V,V,AVX
VMOVDDUP,VEX.256.F2.0F.WIG 12 /r,"VMOVDDUP ymm1, ymm2/m256",V,V,AVX
VMOVDDUP,EVEX.128.F2.0F.W1 12 /r,"VMOVDDUP xmm1 {k1}{z}, xmm2/m64",V,V,AVX512VL|AVX512F
VMOVDDUP,EVEX.256.F2.0F.W1 12 /r,"VMOVDDUP ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVDDUP,EVEX.512.F2.0F.W1 12 /r,"VMOVDDUP zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
MOVDIRI,NP 0F 38 F9 /r,"MOVDIRI m32, r32",V,V,MOVDIRI
MOVDIRI,NP REX.W 0F 38 F9 /r,"MOVDIRI m64, r64",V,N.E.,MOVDIRI
MOVDIR64B,66 0F 38 F8 /r,"MOVDIR64B r16/r32/r64, m512",V,V,MOVDIR64B
MOVDQA,66 0F 6F /r,"MOVDQA xmm1, xmm2/m128",V,V,SSE2
MOVDQA,66 0F 7F /r,"MOVDQA xmm2/m128, xmm1",V,V,SSE2
VMOVDQA,VEX.128.66.0F.WIG 6F /r,"VMOVDQA xmm1, xmm2/m128",V,V,AVX
VMOVDQA,VEX.128.66.0F.WIG 7F /r,"VMOVDQA xmm2/m128, xmm1",V,V,AVX
VMOVDQA,VEX.256.66.0F.WIG 6F /r,"VMOVDQA ymm1, ymm2/m256",V,V,AVX
VMOVDQA,VEX.256.66.0F.WIG 7F /r,"VMOVDQA ymm2/m256, ymm1",V,V,AVX
VMOVDQA32,EVEX.128.66.0F.W0 6F /r,"VMOVDQA32 xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512F
VMOVDQA32,EVEX.256.66.0F.W0 6F /r,"VMOVDQA32 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVDQA32,EVEX.512.66.0F.W0 6F /r,"VMOVDQA32 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVDQA32,EVEX.128.66.0F.W0 7F /r,"VMOVDQA32 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVDQA32,EVEX.256.66.0F.W0 7F /r,"VMOVDQA32 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVDQA32,EVEX.512.66.0F.W0 7F /r,"VMOVDQA32 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
VMOVDQA64,EVEX.128.66.0F.W1 6F /r,"VMOVDQA64 xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512F
VMOVDQA64,EVEX.256.66.0F.W1 6F /r,"VMOVDQA64 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVDQA64,EVEX.512.66.0F.W1 6F /r,"VMOVDQA64 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVDQA64,EVEX.128.66.0F.W1 7F /r,"VMOVDQA64 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVDQA64,EVEX.256.66.0F.W1 7F /r,"VMOVDQA64 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVDQA64,EVEX.512.66.0F.W1 7F /r,"VMOVDQA64 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
MOVDQU,F3 0F 6F /r,"MOVDQU xmm1, xmm2/m128",V,V,SSE2
MOVDQU,F3 0F 7F /r,"MOVDQU xmm2/m128, xmm1",V,V,SSE2
VMOVDQU,VEX.128.F3.0F.WIG 6F /r,"VMOVDQU xmm1, xmm2/m128",V,V,AVX
VMOVDQU,VEX.128.F3.0F.WIG 7F /r,"VMOVDQU xmm2/m128, xmm1",V,V,AVX
VMOVDQU,VEX.256.F3.0F.WIG 6F /r,"VMOVDQU ymm1, ymm2/m256",V,V,AVX
VMOVDQU,VEX.256.F3.0F.WIG 7F /r,"VMOVDQU ymm2/m256, ymm1",V,V,AVX
VMOVDQU8,EVEX.128.F2.0F.W0 6F /r,"VMOVDQU8 xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512BW
VMOVDQU8,EVEX.256.F2.0F.W0 6F /r,"VMOVDQU8 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512BW
VMOVDQU8,EVEX.512.F2.0F.W0 6F /r,"VMOVDQU8 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512BW
VMOVDQU8,EVEX.128.F2.0F.W0 7F /r,"VMOVDQU8 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512BW
VMOVDQU8,EVEX.256.F2.0F.W0 7F /r,"VMOVDQU8 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512BW
VMOVDQU8,EVEX.512.F2.0F.W0 7F /r,"VMOVDQU8 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512BW
VMOVDQU16,EVEX.128.F2.0F.W1 6F /r,"VMOVDQU16 xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512BW
VMOVDQU16,EVEX.256.F2.0F.W1 6F /r,"VMOVDQU16 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512BW
VMOVDQU16,EVEX.512.F2.0F.W1 6F /r,"VMOVDQU16 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512BW
VMOVDQU16,EVEX.128.F2.0F.W1 7F /r,"VMOVDQU16 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512BW
VMOVDQU16,EVEX.256.F2.0F.W1 7F /r,"VMOVDQU16 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512BW
VMOVDQU16,EVEX.512.F2.0F.W1 7F /r,"VMOVDQU16 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512BW
VMOVDQU32,EVEX.128.F3.0F.W0 6F /r,"VMOVDQU32 xmm1 {k1}{z}, xmm2/mm128",V,V,AVX512VL|AVX512F
VMOVDQU32,EVEX.256.F3.0F.W0 6F /r,"VMOVDQU32 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVDQU32,EVEX.512.F3.0F.W0 6F /r,"VMOVDQU32 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVDQU32,EVEX.128.F3.0F.W0 7F /r,"VMOVDQU32 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVDQU32,EVEX.256.F3.0F.W0 7F /r,"VMOVDQU32 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVDQU32,EVEX.512.F3.0F.W0 7F /r,"VMOVDQU32 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
VMOVDQU64,EVEX.128.F3.0F.W1 6F /r,"VMOVDQU64 xmm1 {k1}{z}, xmm2/m128",V,V,AVX512VL|AVX512F
VMOVDQU64,EVEX.256.F3.0F.W1 6F /r,"VMOVDQU64 ymm1 {k1}{z}, ymm2/m256",V,V,AVX512VL|AVX512F
VMOVDQU64,EVEX.512.F3.0F.W1 6F /r,"VMOVDQU64 zmm1 {k1}{z}, zmm2/m512",V,V,AVX512F
VMOVDQU64,EVEX.128.F3.0F.W1 7F /r,"VMOVDQU64 xmm2/m128 {k1}{z}, xmm1",V,V,AVX512VL|AVX512F
VMOVDQU64,EVEX.256.F3.0F.W1 7F /r,"VMOVDQU64 ymm2/m256 {k1}{z}, ymm1",V,V,AVX512VL|AVX512F
VMOVDQU64,EVEX.512.F3.0F.W1 7F /r,"VMOVDQU64 zmm2/m512 {k1}{z}, zmm1",V,V,AVX512F
MOVHLPS,NP 0F 12 /r,"MOVHLPS xmm1, xmm2",V,V,SSE
VMOVHLPS,VEX.128.0F.WIG 12 /r,"VMOVHLPS xmm1, xmm2, xmm3",V,V,AVX
VMOVHLPS,EVEX.128.0F.W0 12 /r,"VMOVHLPS xmm1, xmm2, xmm3",V,V,AVX512F
MOVHPD,66 0F 16 /r,"MOVHPD xmm1, m64",V,V,SSE2
VMOVHPD,VEX.128.66.0F.WIG 16 /r,"VMOVHPD xmm2, xmm1, m64",V,V,AVX
VMOVHPD,EVEX.128.66.0F.W1 16 /r,"VMOVHPD xmm2, xmm1, m64",V,V,AVX512F
MOVHPD,66 0F 17 /r,"MOVHPD m64, xmm1",V,V,SSE2
VMOVHPD,VEX.128.66.0F.WIG 17 /r,"VMOVHPD m64, xmm1",V,V,AVX
VMOVHPD,EVEX.128.66.0F.W1 17 /r,"VMOVHPD m64, xmm1",V,V,AVX512F
MOVHPS,NP 0F 16 /r,"MOVHPS xmm1, m64",V,V,SSE
VMOVHPS,VEX.128.0F.WIG 16 /r,"VMOVHPS xmm2, xmm1, m64",V,V,AVX
VMOVHPS,EVEX.128.0F.W0 16 /r,"VMOVHPS xmm2, xmm1, m64",V,V,AVX512F
MOVHPS,NP 0F 17 /r,"MOVHPS m64, xmm1",V,V,SSE
VMOVHPS,VEX.128.0F.WIG 17 /r,"VMOVHPS m64, xmm1",V,V,AVX
VMOVHPS,EVEX.128.0F.W0 17 /r,"VMOVHPS m64, xmm1",V,V,AVX512F
MOVLHPS,NP 0F 16 /r,"MOVLHPS xmm1, xmm2",V,V,SSE
VMOVLHPS,VEX.128.0F.WIG 16 /r,"VMOVLHPS xmm1, xmm2, xmm3",V,V,AVX
VMOVLHPS,EVEX.128.0F.W0 16 /r,"VMOVLHPS xmm1, xmm2, xmm3",V,V,AVX512F
MOVLPD,66 0F 12 /r,"MOVLPD xmm1, m64",V,V,SSE2
VMOVLPD,VEX.128.66.0F.WIG 12 /r,"VMOVLPD xmm2, xmm1, m64",V,V,AVX
VMOVLPD,EVEX.128.66.0F.W1 12 /r,"VMOVLPD xmm2, xmm1, m64",V,V,AVX512F
MOVLPD,66 0F 13 /r,"MOVLPD m64, xmm1",V,V,SSE2
VMOVLPD,VEX.128.66.0F.WIG 13 /r,"VMOVLPD m64, xmm1",V,V,AVX
VMOVLPD,EVEX.128.66.0F.W1 13 /r,"VMOVLPD m64, xmm1",V,V,AVX512F
MOVLPS,NP 0F 12 /r,"MOVLPS xmm1, m64",V,V,SSE
VMOVLPS,VEX.128.0F.WIG 12 /r,"VMOVLPS xmm2, xmm1, m64",V,V,AVX
VMOVLPS,EVEX.128.0F.W0 12 /r,"VMOVLPS xmm2, xmm1, m64",V,V,AVX512F
MOVLPS,0F 13 /r,"MOVLPS m64, xmm1",V,V,SSE
VMOVLPS,VEX.128.0F.WIG 13 /r,"VMOVLPS m64, xmm1",V,V,AVX
VMOVLPS,EVEX.128.0F.W0 13 /r,"VMOVLPS m64, xmm1",V,V,AVX512F
MOVMSKPD,66 0F 50 /r,"MOVMSKPD reg , xmm",V,V,SSE2
VMOVMSKPD,VEX.128.66.0F.WIG 50 /r,"VMOVMSKPD reg, xmm2",V,V,AVX
VMOVMSKPD,VEX.256.66.0F.WIG 50 /r,"VMOVMSKPD reg, ymm2",V,V,AVX
MOVMSKPS,NP 0F 50 /r,"MOVMSKPS reg , xmm",V,V,SSE
VMOVMSKPS,VEX.128.0F.WIG 50 /r,"VMOVMSKPS reg, xmm2",V,V,AVX
VMOVMSKPS,VEX.256.0F.WIG 50 /r,"VMOVMSKPS reg, ymm2",V,V,AVX
MOVNTDQA,66 0F 38 2A /r,"MOVNTDQA xmm1, m128",V,V,SSE4_1
VMOVNTDQA,VEX.128.66.0F38.WIG 2A /r,"VMOVNTDQA xmm1, m128",V,V,AVX
VMOVNTDQA,VEX.256.66.0F38.WIG 2A /r,"VMOVNTDQA ymm1, m256",V,V,AVX2
VMOVNTDQA,EVEX.128.66.0F38.W0 2A /r,"VMOVNTDQA xmm1, m128",V,V,AVX512VL|AVX512F
VMOVNTDQA,EVEX.256.66.0F38.W0 2A /r,"VMOVNTDQA ymm1, m256",V,V,AVX512VL|AVX512F
VMOVNTDQA,EVEX.512.66.0F38.W0 2A /r,"VMOVNTDQA zmm1, m512",V,V,AVX512F
MOVNTDQ,66 0F E7 /r,"MOVNTDQ m128, xmm1",V,V,SSE2
VMOVNTDQ,VEX.128.66.0F.WIG E7 /r,"VMOVNTDQ m128, xmm1",V,V,AVX
VMOVNTDQ,VEX.256.66.0F.WIG E7 /r,"VMOVNTDQ m256, ymm1",V,V,AVX
VMOVNTDQ,EVEX.128.66.0F.W0 E7 /r,"VMOVNTDQ m128, xmm1",V,V,AVX512VL|AVX512F
VMOVNTDQ,EVEX.256.66.0F.W0 E7 /r,"VMOVNTDQ m256, ymm1",V,V,AVX512VL|AVX512F
VMOVNTDQ,EVEX.512.66.0F.W0 E7 /r,"VMOVNTDQ m512, zmm1",V,V,AVX512F
MOVNTI,NP 0F C3 /r,"MOVNTI m32 , r32",V,V,
MOVNTI,NP REX.W 0F C3 /r,"MOVNTI m64,r64",V,N.E.,
MOVNTPD,66 0F 2B /r,"MOVNTPD m128, xmm1",V,V,SSE2
VMOVNTPD,VEX.128.66.0F.WIG 2B /r,"VMOVNTPD m128, xmm1",V,V,AVX
VMOVNTPD,VEX.256.66.0F.WIG 2B /r,"VMOVNTPD m256, ymm1",V,V,AVX
VMOVNTPD,EVEX.128.66.0F.W1 2B /r,"VMOVNTPD m128, xmm1",V,V,AVX512VL|AVX512F
VMOVNTPD,EVEX.256.66.0F.W1 2B /r,"VMOVNTPD m256, ymm1",V,V,AVX512VL|AVX512F
VMOVNTPD,EVEX.512.66.0F.W1 2B /r,"VMOVNTPD m512, zmm1",V,V,AVX512F
MOVNTPS,NP 0F 2B /r,"MOVNTPS m128, xmm1",V,V,SSE
VMOVNTPS,VEX.128.0F.WIG 2B /r,"VMOVNTPS m128, xmm1",V,V,AVX
VMOVNTPS,VEX.256.0F.WIG 2B /r,"VMOVNTPS m256, ymm1",V,V,AVX
VMOVNTPS,EVEX.128.0F.W0 2B /r,"VMOVNTPS m128, xmm1",V,V,AVX512VL|AVX512F
VMOVNTPS,EVEX.256.0F.W0 2B /r,"VMOVNTPS m256, ymm1",V,V,AVX512VL|AVX512F
VMOVNTPS,EVEX.512.0F.W0 2B /r,"VMOVNTPS m512, zmm1",V,V,AVX512F
MOVNTQ,NP 0F E7 /r,"MOVNTQ m64 , mm",V,V,
MOVQ,NP 0F 6F /r,"MOVQ mm, mm/m64",V,V,MMX
MOVQ,NP 0F 7F /r,"MOVQ mm/m64, mm",V,V,MMX
MOVQ,F3 0F 7E /r,"MOVQ xmm1 , xmm2/m64",V,V,SSE2
VMOVQ,VEX.128.F3.0F.WIG 7E /r,"VMOVQ xmm1, xmm2/m64",V,V,AVX
VMOVQ,EVEX.128.F3.0F.W1 7E /r,"VMOVQ xmm1, xmm2/m64",V,V,AVX512F
MOVQ,66 0F D6 /r,"MOVQ xmm2/m64 , xmm1",V,V,SSE2
VMOVQ,VEX.128.66.0F.WIG D6 /r,"VMOVQ xmm1/m64, xmm2",V,V,AVX
VMOVQ,EVEX.128.66.0F.W1 D6 /r,"VMOVQ xmm1/m64, xmm2",V,V,AVX512F
MOVQ2DQ,F3 0F D6 /r,"MOVQ2DQ xmm , mm",V,V,
MOVS,A4,"MOVS m8 , m8",V,V,
MOVS,A5,"MOVS m16 , m16",V,V,
MOVS,A5,"MOVS m32 , m32",V,V,
MOVS,REX.W A5,"MOVS m64 , m64",V,N.E.,
MOVSB,A4,MOVSB,V,V,
MOVSW,A5,MOVSW,V,V,
MOVSD,A5,MOVSD,V,V,
MOVSQ,REX.W A5,MOVSQ,V,N.E.,
MOVSD,F2 0F 10 /r,"MOVSD xmm1, xmm2",V,V,SSE2
MOVSD,F2 0F 10 /r,"MOVSD xmm1, m64",V,V,SSE2
MOVSD,F2 0F 11 /r,"MOVSD xmm1/m64, xmm2",V,V,SSE2
VMOVSD,VEX.LIG.F2.0F.WIG 10 /r,"VMOVSD xmm1, xmm2, xmm3",V,V,AVX
VMOVSD,VEX.LIG.F2.0F.WIG 10 /r,"VMOVSD xmm1, m64",V,V,AVX
VMOVSD,VEX.LIG.F2.0F.WIG 11 /r,"VMOVSD xmm1, xmm2, xmm3",V,V,AVX
VMOVSD,VEX.LIG.F2.0F.WIG 11 /r,"VMOVSD m64, xmm1",V,V,AVX
VMOVSD,EVEX.LIG.F2.0F.W1 10 /r,"VMOVSD xmm1 {k1}{z}, xmm2, xmm3",V,V,AVX512F
VMOVSD,EVEX.LIG.F2.0F.W1 10 /r,"VMOVSD xmm1 {k1}{z}, m64",V,V,AVX512F
VMOVSD,EVEX.LIG.F2.0F.W1 11 /r,"VMOVSD xmm1 {k1}{z}, xmm2, xmm3",V,V,AVX512F
